water_depth_m,mp_uls,mp_sls,mp_nfa,mp_fls,mp_buckling,mp_governing,bc90_uls,bc90_sls,bc90_nfa,bc90_fls,bc90_buckling,bc90_mooring_uls,bc90_slack,bc90_governing,steel_cost_usd,mooring_line_cost_usd,anchor_cost_usd,total_capex_usd,l_ml_m_per_line,mooring_line_cost_per_m_usd,anchor_cost_per_anchor_usd,mbl_mn
20,0.2444525023223306,0.07551348881153415,0.9253909566092678,0.9452918427596724,0.5748370874553403,FLS,0.2490608108790529,0.07727768183089877,0.9220393993695495,0.9999830609629022,0.5811985502516627,0.9017467378027287,0.050798977892287656,FLS,2577150.399563712,7610.104421313316,750000.0,3334760.5039850255,29.25720482927681,86.70348000000001,250000.0,5
30,0.24688234014464286,0.07731434148996065,0.8963284135916206,0.9741829445920591,0.7606478408563098,FLS,0.24901204318337855,0.07748868215369588,0.8952020670143086,0.999997259040404,0.8053015727134709,0.901978740337381,0.05098665963021559,FLS,2709803.6341403355,42686.59114535521,750000.0,3502490.2252856907,50.734839323226645,280.45548,250000.0,18
40,0.24504411901750484,0.07805911920113384,0.8717100618979222,0.9530429632626072,0.9302426909063312,FLS,0.24899676621980613,0.07893230928288282,0.8693512854466159,0.9999893455264902,0.9726149083977946,0.901686487007326,0.05084657267688324,FLS,2922271.3548599863,8625.435126942937,750000.0,3680896.7899869294,33.160664858138475,86.70348000000001,250000.0,5
50,0.24691105072838992,0.08204783599843304,0.841665469116374,0.9757046374334991,0.9498323869022608,FLS,0.24892834423500546,0.082336947178761,0.8404723258504494,0.9999470157962955,0.9894019555490547,0.9028269301384297,0.05146658040115695,FLS,3193227.280967173,24124.320776685974,750000.0,3967351.6017438592,61.190966687450555,131.41548,250000.0,8
60,0.24817256529925258,0.08608454838234386,0.8124775733327388,0.9913437714765563,0.920206102425411,FLS,0.5619117512703381,0.08336654111176843,0.999836254914028,0.6526237658894624,0.7861106732052221,0.9518217894045296,0.05464074969563234,NFA,1890302.8981519516,757767.5200229372,750000.0,3398070.418174889,84.39377464956107,2992.9834800000003,250000.0,200
70,0.2473588981748557,0.08834967153128473,0.7883475312908206,0.9820243403334193,0.9246611115902879,FLS,0.4895099388330163,0.08860717828907795,0.9997704659933621,0.6786528231380834,0.7191622829320482,0.9521964928616138,0.05485766156287464,NFA,2113440.171239945,752614.7416499131,750000.0,3616054.9128898582,108.90066788022887,2303.67348,250000.0,153.75
80,0.2480275203251953,0.09104173244478779,0.8061920930330024,0.9903496102722347,0.9214015708326155,FLS,0.4249868713590497,0.09434349440788332,0.9999193044765625,0.7309272187018562,0.7059969982108759,0.9530693105262773,0.055168999358841106,NFA,2374209.9104244635,709686.5172777089,750000.0,3833896.427702172,121.33238456644851,1949.7034800000001,250000.0,130
90,0.24739799705713675,0.09342149144821432,0.830621172938213,0.9831155919932187,0.8908835986356833,FLS,0.38624179622983595,0.08737341155300572,0.9995192385463781,0.5472716960409921,0.6898152771834605,0.9516025848588263,0.05526655202570431,NFA,2597861.129221023,744470.2180859456,750000.0,4092331.3473069686,127.27922061357856,1949.7034800000001,250000.0,130
100,0.248222493673597,0.09625737079092388,0.8569886007599902,0.9932244785111648,0.8614403187627403,FLS,0.3139754089292006,0.10676649986541868,0.9999261250994264,0.9239892467351728,0.683771272717568,0.9518228321830006,0.05560480219630903,NFA,3008479.088867214,619720.8780155188,750000.0,4378199.966882733,152.6169118742849,1353.54348,250000.0,90
110,0.2482253953768237,0.09726826717586748,0.8786796222155441,0.993405648702229,0.8999056981655293,FLS,0.3218797584566995,0.0797333398205361,0.9994268618251072,0.3784822786185408,0.6740056940045552,0.9475866568153231,0.0552848736495245,NFA,3051612.0564435786,839901.8544934085,750000.0,4641513.910936987,143.59480182655065,1949.7034800000001,250000.0,130
120,0.24867893994618526,0.10004645397898798,0.905859409851231,0.9990506827108304,0.8501762757957187,FLS,0.265084563283709,0.09532162277775101,0.9995026561771122,0.6174179612091274,0.6710349427509208,0.9478571726552262,0.05569966766468619,NFA,3491169.795844776,689111.8368039634,750000.0,4930281.63264874,169.7056274847714,1353.54348,250000.0,90
130,0.24859735510261327,0.10272772087045559,0.9332798366559887,0.9982320585351518,0.7934436347577788,FLS,0.29024368873932244,0.06040175871697924,0.9996909583180511,0.15006027004917366,0.5656481799608812,0.9424309772774722,0.05518310177117128,NFA,3482646.780639292,1013694.3616877829,750000.0,5246341.142327075,183.84776310850236,1837.9234800000002,250000.0,122.5
140,0.24826782214340384,0.10539501632889227,0.961203455069746,0.9944100830588394,0.7350461891306591,FLS,0.28602441166632636,0.044836133488290124,0.9995388932256352,0.06057574429857846,0.5246237704137072,0.9376349918870578,0.054809738015103374,NFA,3661600.506151636,1232394.6346457242,750000.0,5643995.14079736,182.757020506519,2247.78348,250000.0,150
150,0.2479283599901923,0.10812469178788367,0.9899147707173905,0.9904605143527621,0.678831131319154,FLS,0.24965859198336668,0.05490797023276492,0.9993159500385067,0.09903934006474681,0.49009729983271283,0.9383443885240632,0.05514925255576825,NFA,4101678.110021966,1127434.9684117415,750000.0,5979113.078433707,204.47622560284563,1837.9234800000002,250000.0,122.5
