water_depth_m,mp_diameter_m,mp_mass_t,mp_cost_usd,bc90_diameter_m,bc90_mass_t,bc90_cost_usd,weight_saved_pct,cost_saved_pct,theta_deg,mbl_mn,fairlead_fraction,bc90_governing
20,10.0,1183.3816186582817,2603439.56104822,9.9,1171.4319998016872,3334760.5039850255,1.009785741825442,-28.090567335557992,43.125,5,1.0,FLS
30,10.0,1255.8877806833368,2762953.117503341,10.0,1231.7289246092434,3502490.2252856907,1.9236476734369012,-26.766183729190818,36.25,18,1.0,FLS
40,10.0,1352.424558970357,2975334.0297347857,10.0,1328.3051612999939,3680896.7899869294,1.783419083185389,-23.71373275070685,41.5625,5,0.55,FLS
50,9.7,1474.7774462880786,3244510.381833773,9.7,1451.4669458941696,3967351.6017438592,1.5806113968300783,-22.278899890637472,50,8,0.9375,FLS
60,9.399999999999999,1608.7808756977684,3539317.9265350904,7.800000000000004,1312.2325876446655,4258317.98953213,18.433106244160346,-20.314650390871325,40.625,150,1.0,FLS
70,9.249999999999998,1737.294654688652,3822048.240315034,5.450000000000012,973.3656099830694,3625759.7086291877,43.97233610567285,5.135689539849119,40,150,1.0,NFA
80,9.099999999999998,1860.146152744409,4092321.5360377,5.60000000000001,1079.1863229202106,3833896.427702172,41.983788675529155,6.314877901450089,41.25,130,1.0,NFA
90,8.949999999999998,1998.5003195561858,4396700.703023609,5.650000000000009,1180.8459678277377,4092331.3473069686,40.91339609643032,6.922676258298077,45,130,1.0,NFA
100,8.799999999999997,2130.3043913489337,4686669.660967655,6.000000000000007,1367.4904949396428,4378199.966882733,35.80774181882376,6.581852709909841,40.9375,90,1.0,NFA
110,8.799999999999997,2233.736974078559,4914221.34297283,5.800000000000008,1387.0963892925356,4641513.910936987,37.90242963298183,5.549351830189853,50,130,1.0,NFA
120,8.649999999999997,2376.9548375408935,5229300.642589966,6.150000000000006,1586.8953617476254,4930281.63264874,33.238304039913245,5.718145319583845,45,90,1.0,NFA
130,8.499999999999996,2532.454577554862,5571400.070620697,5.700000000000006,1583.021263926951,5246341.142327075,37.490635450788965,5.834420866807511,45,122.5,1.0,NFA
140,8.349999999999996,2698.8304884876097,5937427.074672742,5.550000000000006,1664.363866432562,5643995.14079736,38.3301814051593,4.942072217224758,50,150,1.0,NFA
150,8.199999999999996,2874.6472709034874,6324223.995987672,5.700000000000005,1864.3991409190755,5979113.078433707,35.14337707481224,5.456968598406952,47.1875,122.5,1.0,NFA
